Date,Open,High,Low,Close,Adj Close,Volume
2013-12-18,7600.430176,7741.169922,7559.569824,7737.720215,7737.720215,0
2013-12-19,7720.669922,7748.540039,7703.890137,7742.729980,7742.729980,0
2013-12-20,7751.129883,7789.390137,7747.200195,7761.279785,7761.279785,0
2013-12-23,7782.250000,7797.959961,7778.330078,7785.290039,7785.290039,0
2013-12-24,7787.359863,7813.439941,7787.359863,7812.759766,7812.759766,0
2013-12-26,7825.899902,7864.259766,7825.899902,7861.259766,7861.259766,0
2013-12-27,7871.319824,7878.859863,7857.589844,7868.160156,7868.160156,0
2013-12-30,7870.680176,7876.879883,7856.279785,7866.180176,7866.180176,0
2013-12-31,7872.540039,7898.850098,7866.049805,7892.459961,7892.459961,0
2014-01-02,7863.169922,7874.089844,7810.430176,7826.609863,7826.609863,0
2014-01-03,7838.950195,7866.549805,7828.910156,7841.870117,7841.870117,0
2014-01-06,7870.819824,7877.060059,7819.560059,7829.339844,7829.339844,0
2014-01-07,7851.740234,7884.169922,7851.740234,7869.209961,7869.209961,0
2014-01-08,7863.930176,7864.649902,7828.649902,7852.149902,7852.149902,0
2014-01-09,7866.649902,7871.290039,7820.750000,7856.680176,7856.680176,0
2014-01-10,7864.810059,7873.399902,7823.089844,7860.319824,7860.319824,0
2014-01-13,7860.319824,7862.370117,7762.680176,7772.620117,7772.620117,0
2014-01-14,7788.310059,7830.859863,7773.379883,7829.009766,7829.009766,0
2014-01-15,7842.189941,7882.810059,7841.450195,7871.259766,7871.259766,0
2014-01-16,7855.450195,7861.149902,7834.609863,7858.750000,7858.750000,0
2014-01-17,7864.419922,7864.419922,7821.669922,7834.339844,7834.339844,0
2014-01-21,7834.339844,7873.020020,7787.009766,7834.339844,7834.339844,0
2014-01-22,7831.470215,7838.160156,7808.149902,7824.080078,7824.080078,0
2014-01-23,7777.350098,7777.350098,7712.129883,7745.319824,7745.319824,0
2014-01-24,7709.259766,7709.259766,7585.459961,7585.490234,7585.490234,0
2014-01-27,7591.549805,7613.149902,7530.069824,7557.370117,7557.370117,0
2014-01-28,7557.370117,7626.520020,7557.370117,7616.649902,7616.649902,0
2014-01-29,7566.930176,7586.279785,7517.890137,7534.410156,7534.410156,0
2014-01-30,7573.689941,7614.839844,7553.589844,7593.220215,7593.220215,0
2014-01-31,7520.029785,7577.020020,7486.299805,7522.229980,7522.229980,0
2014-02-03,7526.120117,7530.700195,7347.640137,7355.790039,7355.790039,0
2014-02-04,7387.600098,7416.259766,7387.600098,7403.759766,7403.759766,0
2014-02-05,7385.009766,7408.970215,7346.029785,7392.830078,7392.830078,0
2014-02-06,7423.120117,7486.799805,7417.799805,7484.939941,7484.939941,0
2014-02-07,7509.930176,7581.100098,7499.310059,7575.990234,7575.990234,0
2014-02-10,7576.029785,7579.609863,7549.069824,7579.609863,7579.609863,0
2014-02-11,7589.129883,7689.669922,7585.879883,7672.629883,7672.629883,0
2014-02-12,7672.709961,7698.089844,7646.939941,7660.399902,7660.399902,0
2014-02-13,7626.149902,7691.759766,7606.180176,7688.640137,7688.640137,0
2014-02-14,7684.930176,7751.160156,7671.799805,7736.640137,7736.640137,0
2014-02-18,7741.569824,7742.080078,7710.890137,7724.700195,7724.700195,0
2014-02-19,7704.009766,7759.370117,7666.350098,7670.629883,7670.629883,0
2014-02-20,7672.419922,7731.750000,7656.790039,7717.220215,7717.220215,0
2014-02-21,7717.229980,7742.060059,7695.589844,7698.750000,7698.750000,0
2014-02-24,7713.330078,7797.359863,7713.330078,7746.950195,7746.950195,0
2014-02-25,7749.720215,7769.790039,7718.879883,7738.720215,7738.720215,0
